Group Starts,Sum - Volume (Lynden/Aldergrove North Trucks),Sum - Volume (Lynden/Aldergrove South Trucks),Sum - Volume (Pacific Highway North Trucks),Sum - Volume (Pacific Highway South Trucks),Sum - Volume (Sumas/Huntingdon North Trucks)
2018-05-26 00:00:00,68.0,62.0,742.0,1142.0,157.0
2018-05-27 00:00:00,51.0,87.0,532.0,1206.0,67.0
2018-05-28 00:00:00,70.0,127.0,659.0,1586.0,183.0
2018-05-29 00:00:00,181.0,181.0,1108.0,1881.0,478.0
2018-05-30 00:00:00,190.0,5.0,1234.0,1978.0,494.0
2018-05-31 00:00:00,198.0,187.0,1328.0,1813.0,488.0
2018-06-01 00:00:00,172.0,219.0,1319.0,1901.0,463.0
2018-06-02 00:00:00,69.0,88.0,726.0,1399.0,119.0
2018-06-03 00:00:00,47.0,98.0,556.0,1259.0,63.0
2018-06-04 00:00:00,178.0,213.0,1129.0,1801.0,399.0
2018-06-05 00:00:00,165.0,174.0,1173.0,1943.0,432.0
2018-06-06 00:00:00,199.0,195.0,1197.0,1932.0,485.0
2018-06-07 00:00:00,200.0,180.0,1227.0,1615.0,450.0
2018-06-08 00:00:00,169.0,209.0,1285.0,1830.0,408.0
2018-06-09 00:00:00,69.0,72.0,799.0,1270.0,139.0
2018-06-10 00:00:00,38.0,74.0,534.0,1226.0,84.0
2018-06-11 00:00:00,168.0,193.0,1184.0,1894.0,427.0
2018-06-12 00:00:00,175.0,181.0,1285.0,1874.0,446.0
2018-06-13 00:00:00,171.0,197.0,1388.0,1989.0,479.0
2018-06-14 00:00:00,169.0,205.0,1338.0,1947.0,454.0
2018-06-15 00:00:00,186.0,240.0,1307.0,1960.0,454.0
2018-06-16 00:00:00,52.0,66.0,784.0,1360.0,122.0
2018-06-17 00:00:00,44.0,88.0,528.0,1221.0,79.0
2018-06-18 00:00:00,210.0,206.0,1110.0,1882.0,426.0
2018-06-19 00:00:00,177.0,193.0,1182.0,1995.0,432.0
2018-06-20 00:00:00,201.0,240.0,1364.0,1832.0,492.0
2018-06-21 00:00:00,183.0,208.0,1394.0,1974.0,449.0
2018-06-22 00:00:00,178.0,217.0,1345.0,1934.0,431.0
2018-06-23 00:00:00,66.0,83.0,771.0,1335.0,135.0
2018-06-24 00:00:00,57.0,74.0,475.0,1161.0,95.0
2018-06-25 00:00:00,189.0,218.0,1131.0,1926.0,476.0
2018-06-26 00:00:00,183.0,188.0,1273.0,1910.0,456.0
2018-06-27 00:00:00,206.0,230.0,1435.0,1997.0,412.0
2018-06-28 00:00:00,213.0,265.0,1381.0,1905.0,475.0
2018-06-29 00:00:00,189.0,267.0,1378.0,1874.0,469.0
2018-06-30 00:00:00,53.0,102.0,824.0,1306.0,165.0
2018-07-01 00:00:00,38.0,89.0,468.0,1050.0,71.0
2018-07-02 00:00:00,121.0,136.0,751.0,1472.0,276.0
2018-07-03 00:00:00,186.0,223.0,1100.0,1885.0,481.0
2018-07-04 00:00:00,74.0,108.0,961.0,1592.0,240.0
2018-07-05 00:00:00,222.0,248.0,1237.0,1880.0,500.0
2018-07-06 00:00:00,186.0,224.0,1238.0,1852.0,427.0
2018-07-07 00:00:00,75.0,114.0,760.0,1332.0,118.0
2018-07-08 00:00:00,42.0,132.0,516.0,1211.0,95.0
2018-07-09 00:00:00,182.0,220.0,1054.0,1736.0,415.0
2018-07-10 00:00:00,171.0,199.0,1184.0,1903.0,474.0
2018-07-11 00:00:00,199.0,215.0,1349.0,1957.0,481.0
2018-07-12 00:00:00,215.0,217.0,1236.0,1811.0,471.0
2018-07-13 00:00:00,210.0,244.0,450.0,1807.0,450.0
2018-07-14 00:00:00,69.0,104.0,,1207.0,125.0
2018-07-15 00:00:00,54.0,91.0,,1183.0,85.0
2018-07-16 00:00:00,42.0,180.0,599.0,1845.0,433.0
2018-07-17 00:00:00,159.0,221.0,1123.0,1871.0,446.0
2018-07-18 00:00:00,206.0,222.0,1345.0,1866.0,477.0
2018-07-19 00:00:00,224.0,212.0,1328.0,1785.0,445.0
2018-07-20 00:00:00,194.0,237.0,1262.0,1735.0,461.0
2018-07-21 00:00:00,78.0,118.0,796.0,1309.0,159.0
2018-07-22 00:00:00,76.0,114.0,485.0,1141.0,90.0
2018-07-23 00:00:00,180.0,200.0,1099.0,1822.0,439.0
2018-07-24 00:00:00,208.0,209.0,1196.0,1969.0,436.0
2018-07-25 00:00:00,225.0,195.0,1284.0,1919.0,449.0
2018-07-26 00:00:00,206.0,246.0,1273.0,1811.0,443.0
2018-07-27 00:00:00,168.0,231.0,1339.0,1807.0,393.0
2018-07-28 00:00:00,73.0,126.0,802.0,1344.0,131.0
2018-07-29 00:00:00,50.0,124.0,472.0,1145.0,103.0
2018-07-30 00:00:00,168.0,213.0,1060.0,1874.0,386.0
